101,2,0,0,0,0
102,5,0,0,0,6
103,4,0,0,0,-1
104,3,0,0,0,0
105,1,0,0,0,1
106,2,0,0,0,-2
107,5,1,0,0,-3
108,4,0,0,0,-1
109,0,0,0,0,-2
110,0,0,0,0,-2
111,1,0,0,0,-5
112,4,0,0,0,6
113,1,0,0,0,0
114,5,0,0,0,6
115,0,0,0,0,-2
116,3,0,0,0,0
117,1,0,0,0,0
118,3,0,0,0,0
119,4,0,0,0,-1
120,1,0,0,0,1
201,2,0,0,0,-2
202,4,-1,-1,0,-1
203,4,0,0,0,-1
204,2,0,0,0,0
205,1,0,0,0,6
206,1,0,0,0,0
207,4,0,0,0,-1
208,4,0,0,0,-1
209,0,0,0,0,-2
210,1,0,0,0,0
211,2,0,0,0,0
212,3,0,0,0,6
213,4,0,0,4,6
214,4,1,0,0,-1
215,3,0,0,0,0
216,1,0,0,0,0
217,1,0,1,0,0
218,1,0,0,0,0
219,3,0,0,0,6
220,0,0,0,0,-2
221,0,0,0,0,-2
222,1,0,0,0,0
301,0,0,0,0,-2
302,4,0,0,0,-1
303,4,0,0,0,-1
304,2,0,0,1,1
305,4,0,0,0,-1
306,2,0,0,1,-5
307,3,0,0,0,0
308,1,0,0,0,0
309,4,0,0,0,-1
310,1,0,0,0,0
311,2,0,0,0,6
312,4,0,0,0,-1
313,3,1,0,0,0
314,1,0,0,0,0
315,3,0,1,3,0
316,2,0,0,0,0
317,2,0,0,0,0
318,2,0,0,0,0
319,2,0,0,0,-2
320,3,0,0,0,0
321,2,0,0,0,0
322,5,0,0,0,6
401,2,0,0,0,-5
402,4,0,0,0,-1
403,1,0,0,0,0
404,2,3,4,8,0
405,3,0,0,0,0
406,2,0,0,0,-2
407,0,0,0,0,-2
408,3,2,0,0,1
409,1,0,0,0,0
410,2,0,0,0,0
411,3,2,1,5,0
412,3,0,0,1,0
413,3,0,0,0,0
414,4,1,0,0,-1
415,3,0,0,0,0
416,2,0,0,0,0
417,2,0,0,0,0
418,2,0,0,0,-3
419,4,0,0,0,-1
420,2,0,0,0,-5
421,3,0,4,3,0
422,0,0,0,0,-2
501,1,0,0,0,0
502,4,3,6,8,-1
503,2,0,2,1,0
504,3,0,0,0,0
505,1,0,0,0,-5
506,3,0,0,0,0
507,3,0,0,0,0
508,2,0,0,0,-3
509,3,1,0,0,0
510,2,0,0,0,0
511,1,0,0,0,0
512,2,0,0,0,-3
513,2,0,0,0,0
514,1,0,0,0,0
515,2,0,3,2,0
516,4,0,0,0,-1
517,1,0,0,0,0
518,4,0,0,0,-1
519,1,0,0,0,0
520,0,0,0,0,-2
521,3,0,0,0,0
522,2,0,0,0,-2
